Date,Ticker,Side,Quantity,Price,Fees,Currency
15/11/2023,VAF.ASX,SELL,146,43.87,,AUD
15/11/2023,VAP.ASX,SELL,85,74.88,,AUD
15/11/2023,VGB.ASX,SELL,143,44.68,,AUD
15/11/2023,VHY.ASX,SELL,97,66.03,,AUD
15/11/2023,WDIV.ASX,SELL,368,17.36,,AUD
14/11/2023,BOQ.ASX,BUY,575,5.62,,AUD
14/11/2023,GMG.ASX,BUY,133,23.55,,AUD
14/11/2023,WES.ASX,BUY,60,54.19,,AUD
14/11/2023,MQG.ASX,BUY,18,168.12,,AUD
14/11/2023,MQG.ASX,BUY,18,168.12,,AUD
14/11/2023,NAB.ASX,BUY,119,28.08,,AUD
14/11/2023,WOR.ASX,BUY,189,17.59,,AUD
14/11/2023,CBA.ASX,BUY,33,102.15,,AUD
14/11/2023,TLS.ASX,BUY,895,3.83,,AUD
14/11/2023,AMC.ASX,BUY,226,14.31,,AUD
14/11/2023,MPL.ASX,BUY,977,3.53,,AUD
14/11/2023,SGP.ASX,BUY,737,4.03,,AUD
18/3/2024,BOQ.ASX,SELL,102,6.2,,AUD
18/3/2024,GMG.ASX,SELL,74,29.74,,AUD
18/3/2024,WES.ASX,SELL,28,66.51,,AUD
18/3/2024,MQG.ASX,SELL,7,198.48,,AUD
18/3/2024,MQG.ASX,SELL,7,198.48,,AUD
18/3/2024,NAB.ASX,SELL,50,34.03,,AUD
18/3/2024,WOR.ASX,BUY,67,16.29,,AUD
18/3/2024,CBA.ASX,SELL,8,116.46,,AUD
18/3/2024,TLS.ASX,BUY,104,3.82,,AUD
18/3/2024,AMC.ASX,BUY,22,14.41,,AUD
18/3/2024,MPL.ASX,SELL,98,3.8,,AUD
18/3/2024,SGP.ASX,SELL,310,4.8,,AUD
18/3/2024,JYC.ASX,BUY,2909,3.48,,AUD
28/5/2024,MQG.ASX,SELL,102,191.6,,AUD
28/5/2024,TLS.ASX,SELL,2650,3.55,,AUD
30/5/2024,WOR.ASX,SELL,621,14.7,,AUD
6/6/2024,MPL.ASX,SELL,2664,3.78,,AUD
6/6/2024,BOQ.ASX,BUY,838,5.98,,AUD
6/6/2024,GMG.ASX,BUY,81,35.08,,AUD
6/6/2024,WES.ASX,BUY,71,66.27,,AUD
6/6/2024,MQG.ASX,BUY,25,195.22,,AUD
6/6/2024,NAB.ASX,BUY,125,35,,AUD
6/6/2024,CBA.ASX,BUY,31,124.85,,AUD
6/6/2024,AMC.ASX,BUY,258,15.38,,AUD
6/6/2024,SGP.ASX,BUY,1111,4.59,,AUD
6/6/2024,JYC.ASX,BUY,900,3.88,,AUD
14/1/2025,BOQ.ASX,SELL,887,6.6,,AUD
14/1/2025,GMG.ASX,SELL,137,36.76,,AUD
14/1/2025,WES.ASX,SELL,75,70.74,,AUD
14/1/2025,MQG.ASX,SELL,30,225.28,,AUD
14/1/2025,NAB.ASX,SELL,141,37.18,,AUD
14/1/2025,CBA.ASX,SELL,49,151.96,,AUD
14/1/2025,AMC.ASX,SELL,288,15.54,,AUD
14/1/2025,SGP.ASX,SELL,1051,4.82,,AUD
14/1/2025,JYC.ASX,SELL,1551,4.63,,AUD
5/8/2024,GQG.ASX,BUY,4037,2.59,,AUD
6/1/2025,HM1.ASX,BUY,3362,3.11,,AUD
8/1/2025,PIA.ASX,BUY,8714,1.2,,AUD
13/1/2025,IGL.ASX,BUY,4979,2.1,,AUD
14/1/2025,SHA.ASX,BUY,3593,2.91,,AUD
15/1/2025,GQG.ASX,SELL,4037,1.84,,AUD
15/1/2025,BOQ.ASX,BUY,70,6.63,,AUD
15/1/2025,GMG.ASX,BUY,16,36.54,,AUD
15/1/2025,WES.ASX,BUY,7,70.72,,AUD
15/1/2025,MQG.ASX,BUY,3,224.2,,AUD
15/1/2025,NAB.ASX,BUY,12,37.4,,AUD
15/1/2025,CBA.ASX,BUY,3,151.27,,AUD
15/1/2025,AMC.ASX,BUY,37,15.44,,AUD
15/1/2025,SGP.ASX,BUY,78,4.88,,AUD
15/1/2025,JYC.ASX,BUY,163,4.53,,AUD
15/1/2025,HM1.ASX,BUY,175,3.1,,AUD
15/1/2025,PIA.ASX,BUY,501,1.19,,AUD
15/1/2025,IGL.ASX,BUY,293,2.08,,AUD
15/1/2025,SHA.ASX,BUY,162,2.92,,AUD
21/5/2025,BOQ.ASX,SELL,578,7.72,,AUD
21/5/2025,GMG.ASX,SELL,41,32.11,,AUD
21/5/2025,WES.ASX,SELL,56,84.06,,AUD
21/5/2025,MQG.ASX,SELL,10,210.26,,AUD
21/5/2025,NAB.ASX,SELL,72,37.64,,AUD
21/5/2025,CBA.ASX,SELL,25,174.98,,AUD
21/5/2025,AMC.ASX,SELL,127,14.25,,AUD
21/5/2025,SGP.ASX,SELL,759,5.58,,AUD
21/5/2025,JYC.ASX,SELL,627,4.63,,AUD
21/5/2025,HM1.ASX,SELL,814,3.05,,AUD
21/5/2025,PIA.ASX,SELL,2117,1.17,,AUD
21/5/2025,IGL.ASX,SELL,2065,2.59,,AUD
21/5/2025,SHA.ASX,SELL,1223,3.28,,AUD
21/5/2025,SUL.ASX,BUY,589,14.11,,AUD
21/5/2025,TWR.ASX,BUY,5932,1.4,,AUD
21/5/2025,AGL.ASX,BUY,806,10.31,,AUD
21/5/2025,SRV.ASX,BUY,1516,5.48,,AUD
21/5/2025,KOV.ASX,BUY,809,10.27,,AUD
16/6/2025,SHA.ASX,SELL,2532,4.2,,AUD
18/6/2025,JYC.ASX,SELL,1794,4.54,,AUD
18/6/2025,BOQ.ASX,BUY,130,7.83,,AUD
18/6/2025,GMG.ASX,BUY,14,34.59,,AUD
18/6/2025,WES.ASX,BUY,14,83.8,,AUD
18/6/2025,MQG.ASX,BUY,5,212.52,,AUD
18/6/2025,NAB.ASX,BUY,23,38.71,,AUD
18/6/2025,CBA.ASX,BUY,5,180.18,,AUD
18/6/2025,AMC.ASX,BUY,92,14,,AUD
18/6/2025,SGP.ASX,BUY,211,5.56,,AUD
18/6/2025,HM1.ASX,BUY,446,2.98,,AUD
18/6/2025,PIA.ASX,BUY,905,1.18,,AUD
18/6/2025,IGL.ASX,BUY,252,2.73,,AUD
18/6/2025,SUL.ASX,BUY,93,13.85,,AUD
18/6/2025,TWR.ASX,BUY,672,1.43,,AUD
18/6/2025,AGL.ASX,BUY,108,10.33,,AUD
18/6/2025,SRV.ASX,BUY,161,5.63,,AUD
18/6/2025,KOV.ASX,BUY,90,10.5,,AUD
,,,,,,
,,,,,,
24/7/2025,BOQ.ASX,BUY,3,7.55,,AUD
24/7/2025,GMG.ASX,SELL,12,34.97,,AUD
24/7/2025,WES.ASX,SELL,2,82.59,,AUD
24/7/2025,MQG.ASX,BUY,38,213.84,,AUD
24/7/2025,NAB.ASX,SELL,2,37.66,,AUD
24/7/2025,CBA.ASX,BUY,1,173.47,,AUD
24/7/2025,AMC.ASX,SELL,552,74.35,,AUD
24/7/2025,SGP.ASX,SELL,15,5.42,,AUD
24/7/2025,HM1.ASX,SELL,394,3.29,,AUD
24/7/2025,PIA.ASX,SELL,641,1.24,,AUD
24/7/2025,IGL.ASX,SELL,416,3,,AUD
24/7/2025,SUL.ASX,SELL,74,15.02,,AUD
24/7/2025,TWR.ASX,SELL,714,1.55,,AUD
24/7/2025,AGL.ASX,BUY,19,9.78,,AUD
24/7/2025,SRV.ASX,SELL,95,5.77,,AUD
23/7/2025,KOV.ASX,SELL,119,11.7,,AUD
24/7/2025,DOW.ASX,BUY,1331,6.86,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1/10/2025,AMC.ASX,SELL,614,12.36,,AUD
2/10/2025,CBA.ASX,SELL,53,169.5,,AUD
24/9/2025,WES.ASX,SELL,111,93.11,,AUD
17/11/2025,NAB.ASX,SELL,242,41.5,,AUD
18/11/2025,SGP.ASX,SELL,1684,6.3,,AUD
,,,,,,
,,,,,,
24/11/2025,BOQ.ASX,BUY,651,6.52,,AUD
24/11/2025,GMG.ASX,BUY,152,29.345,,AUD
24/11/2025,WES.ASX,BUY,40,80.53,,AUD
24/11/2025,MQG.ASX,BUY,19,195.21,,AUD
24/11/2025,HM1.ASX,BUY,1100,3.13,,AUD
24/11/2025,PIA.ASX,BUY,2227,1.265,,AUD
24/11/2025,IGL.ASX,BUY,1000,3,,AUD
24/11/2025,SUL.ASX,BUY,140,16.21,,AUD
24/11/2025,TWR.ASX,BUY,1426,1.658,,AUD
24/11/2025,AGL.ASX,BUY,410,9.03,,AUD
24/11/2025,SRV.ASX,BUY,103,7.2,,AUD
24/11/2025,KOV.ASX,BUY,103,13.73,,AUD
24/11/2025,DOW.ASX,BUY,234,7.75,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23/2/2026,BOQ.ASX,SELL,76,6.98,,AUD
23/2/2026,GMG.ASX,BUY,13,29.24,,AUD
23/2/2026,WES.ASX,SELL,0,82.58,,AUD
23/2/2026,MQG.ASX,SELL,4,214.13,,AUD
23/2/2026,HM1.ASX,BUY,404,2.91,,AUD
20/2/2026,PIA.ASX,BUY,453,1.24,,AUD
23/2/2026,IGL.ASX,BUY,26,3.06,,AUD
23/2/2026,SUL.ASX,BUY,122,14.32,,AUD
23/2/2026,TWR.ASX,BUY,717,1.55,,AUD
23/2/2026,AGL.ASX,SELL,135,10.31,,AUD
23/2/2026,SRV.ASX,SELL,87,7.79,,AUD
20/2/2026,KOV.ASX,SELL,82,15.54,,AUD
23/2/2026,DOW.ASX,SELL,41,8.17,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13/3/2026,ROYL.ASX,BUY,647,13.36,,AUD
13/3/2026,UMAX.ASX,BUY,352,24.56,,AUD
13/3/2026,YMAX.ASX,BUY,1155,7.48,,AUD
13/3/2026,VHY.ASX,BUY,105,82.23,,AUD
13/3/2026,SLF.ASX,BUY,736,11.74,,AUD
13/3/2026,XGOV.ASX,BUY,175,49.35,,AUD
13/3/2026,CGFPC.ASX,BUY,86,100,,AUD
13/3/2026,NABPF.ASX,BUY,86,100.04,,AUD
13/3/2026,MQGPD.ASX,BUY,86,100.52,,AUD
13/3/2026,WBCPJ.ASX,BUY,85,101.29,,AUD
13/3/2026,CBAPJ.ASX,BUY,86,100.2,,AUD
13/3/2026,AN3PI.ASX,BUY,84,102.47,,AUD
13/3/2026,BOQ.ASX,SELL,1281,6.8,,AUD
13/3/2026,GMG.ASX,SELL,293,25.71,,AUD
13/3/2026,WES.ASX,SELL,106,75.92,,AUD
13/3/2026,MQG.ASX,SELL,41,195.33,,AUD
13/3/2026,HM1.ASX,SELL,3018,2.71,,AUD
13/3/2026,PIA.ASX,SELL,7145,1.18,,AUD
13/3/2026,IGL.ASX,SELL,2734,2.56,,AUD
13/3/2026,SUL.ASX,SELL,612,13.24,,AUD
13/3/2026,TWR.ASX,SELL,5769,1.51,,AUD
13/3/2026,AGL.ASX,SELL,825,8.93,,AUD
13/3/2026,SRV.ASX,SELL,1081,6.61,,AUD
13/3/2026,KOV.ASX,SELL,572,14.9,,AUD
13/3/2026,DOW.ASX,SELL,1069,7.51,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27/3/2026,HM1.ASX,SELL,1261,2.75,,AUD
27/3/2026,PIA.ASX,SELL,2897,1.17,,AUD
27/3/2026,SUL.ASX,SELL,258,12.73,,AUD
,,,,,,
,,,,,,
,,,,,,
30/3/2026,ROYL.ASX,BUY,14,13.01,,AUD
30/3/2026,UMAX.ASX,BUY,4,24.16,,AUD
30/3/2026,YMAX.ASX,SELL,0,7.44,,AUD
30/3/2026,VHY.ASX,SELL,1,82.45,,AUD
30/3/2026,SLF.ASX,BUY,22,11.34,,AUD
30/3/2026,XGOV.ASX,SELL,0,49.06,,AUD
30/3/2026,CGFPC.ASX,SELL,0,100.34,,AUD
30/3/2026,NABPF.ASX,SELL,0,100.49,,AUD
30/3/2026,MQGPD.ASX,SELL,1,100.75,,AUD
30/3/2026,WBCPJ.ASX,SELL,0,101.55,,AUD
30/3/2026,CBAPJ.ASX,SELL,1,100.73,,AUD
30/3/2026,AN3PI.ASX,SELL,0,102.03,,AUD
30/3/2026,BOQ.ASX,BUY,155,6.72,,AUD
30/3/2026,GMG.ASX,BUY,43,25.08,,AUD
30/3/2026,WES.ASX,BUY,16,72.92,,AUD
30/3/2026,MQG.ASX,BUY,5,199.51,,AUD
30/3/2026,IGL.ASX,BUY,392,2.56,,AUD
30/3/2026,TWR.ASX,BUY,569,1.56,,AUD
30/3/2026,AGL.ASX,BUY,59,9.99,,AUD
30/3/2026,SRV.ASX,BUY,131,6.82,,AUD
30/3/2026,KOV.ASX,BUY,92,13.77,,AUD
30/3/2026,DOW.ASX,BUY,121,7.68,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22/4/2026,MQG.ASX,SELL,22,232.58,,AUD
,,,,,,
,,,,,,
,,,,,,
21/4/2026,ROYL.ASX,SELL,2,13.46,,AUD
21/4/2026,UMAX.ASX,BUY,3,24.73,,AUD
21/4/2026,YMAX.ASX,BUY,20,7.55,,AUD
21/4/2026,VHY.ASX,BUY,1,84.1,,AUD
21/4/2026,SLF.ASX,SELL,54,12.6,,AUD
21/4/2026,XGOV.ASX,BUY,3,49.93,,AUD
21/4/2026,CGFPC.ASX,BUY,2,100.8,,AUD
21/4/2026,NABPF.ASX,BUY,2,100.22,,AUD
21/4/2026,MQGPD.ASX,BUY,3,101.19,,AUD
21/4/2026,WBCPJ.ASX,BUY,2,102,,AUD
21/4/2026,CBAPJ.ASX,BUY,3,101.28,,AUD
21/4/2026,AN3PI.ASX,BUY,2,102.84,,AUD
21/4/2026,BOQ.ASX,BUY,39,7.27,,AUD
21/4/2026,GMG.ASX,SELL,7,30.03,,AUD
21/4/2026,WES.ASX,BUY,7,74.97,,AUD
21/4/2026,IGL.ASX,BUY,171,2.67,,AUD
20/4/2026,TWR.ASX,BUY,295,1.62,,AUD
21/4/2026,AGL.ASX,BUY,98,9.39,,AUD
21/4/2026,SRV.ASX,BUY,121,6.59,,AUD
21/4/2026,KOV.ASX,BUY,10,15.32,,AUD
21/4/2026,DOW.ASX,BUY,105,7.44,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6/5/2026,YMAX.ASX,SELL,1175,7.55,,AUD
6/5/2026,CGFPC.ASX,SELL,88,101.1,,AUD
6/5/2026,NABPF.ASX,SELL,88,100.632,,AUD
6/5/2026,MQGPD.ASX,SELL,88,101.69,,AUD
6/5/2026,WBCPJ.ASX,SELL,87,101.9,,AUD
6/5/2026,CBAPJ.ASX,SELL,88,101.26,,AUD
6/5/2026,AN3PI.ASX,SELL,86,102.78,,AUD
,,,,,,
,,,,,,
,,,,,,
6/5/2026,ROYL.ASX,BUY,368,12.9,,AUD
6/5/2026,UMAX.ASX,BUY,176,24.75,,AUD
6/5/2026,VHY.ASX,BUY,53,83.97,,AUD
6/5/2026,SLF.ASX,BUY,342,12.66,,AUD
6/5/2026,XGOV.ASX,BUY,93,48.86,,AUD
6/5/2026,USD.ASX,BUY,949,13.95,,AUD
6/5/2026,UTIP.ASX,BUY,511,25.9,,AUD
6/5/2026,US10.ASX,BUY,261,50.77,,AUD
6/5/2026,BOQ.ASX,BUY,98,6.35,,AUD
6/5/2026,GMG.ASX,SELL,4,30.64,,AUD
6/5/2026,WES.ASX,BUY,1,72.71,,AUD
6/5/2026,IGL.ASX,BUY,43,2.6,,AUD
6/5/2026,TWR.ASX,SELL,194,1.72,,AUD
6/5/2026,AGL.ASX,SELL,7,9.47,,AUD
6/5/2026,SRV.ASX,BUY,28,6.33,,AUD
6/5/2026,KOV.ASX,SELL,6,15.51,,AUD
6/5/2026,DOW.ASX,SELL,54,8.05,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14/5/2026,ROYL.ASX,SELL,13,13.07,,AUD
14/5/2026,UMAX.ASX,SELL,5,25.03,,AUD
14/5/2026,VHY.ASX,BUY,1,83.43,,AUD
14/5/2026,SLF.ASX,BUY,11,12.54,,AUD
14/5/2026,XGOV.ASX,SELL,3,49.38,,AUD
14/5/2026,USD.ASX,BUY,3,13.93,,AUD
14/5/2026,UTIP.ASX,SELL,0,25.94,,AUD
14/5/2026,US10.ASX,#N/A,,,,AUD
14/5/2026,BOQ.ASX,BUY,433,6.17,,AUD
14/5/2026,GMG.ASX,BUY,76,31.4,,AUD
14/5/2026,WES.ASX,BUY,37,71.73,,AUD
14/5/2026,IGL.ASX,BUY,886,2.68,,AUD
14/5/2026,TWR.ASX,BUY,1370,1.76,,AUD
14/5/2026,AGL.ASX,BUY,276,9.36,,AUD
14/5/2026,SRV.ASX,BUY,435,6.15,,AUD
14/5/2026,KOV.ASX,BUY,140,16.3,,AUD
14/5/2026,DOW.ASX,BUY,365,7.64,,AUD
14/5/2026,APA.ASX,BUY,711,10.66,,AUD
14/5/2026,DXI.ASX,BUY,3130,2.42,,AUD
14/5/2026,DDR.ASX,BUY,840,9.02,,AUD
14/5/2026,GPT.ASX,BUY,1608,4.71,,AUD
14/5/2026,CBA.ASX,BUY,48,156.42,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29/5/2026,WES.ASX,SELL,61,79.79,,AUD
,,,,,,
,,,,,,
29/5/2026,ROYL.ASX,BUY,1057,13.86,,AUD
29/5/2026,UMAX.ASX,BUY,531,25.8,,AUD
29/5/2026,VHY.ASX,BUY,183,84.02,,AUD
29/5/2026,SLF.ASX,SELL,844,12.76,,AUD
29/5/2026,XGOV.ASX,SELL,214,50.25,,AUD
29/5/2026,USD.ASX,SELL,760,14.15,,AUD
29/5/2026,UTIP.ASX,BUY,594,25.98,,AUD
27/5/2026,US10.ASX,BUY,222,50.61,,AUD
29/5/2026,BOQ.ASX,SELL,794,6.26,,AUD
29/5/2026,GMG.ASX,SELL,155,31.67,,AUD
29/5/2026,IGL.ASX,SELL,1771,2.57,,AUD
29/5/2026,TWR.ASX,SELL,2553,1.55,,AUD
29/5/2026,AGL.ASX,SELL,492,8.56,,AUD
29/5/2026,SRV.ASX,SELL,842,6.95,,AUD
29/5/2026,KOV.ASX,SELL,199,18.87,,AUD
29/5/2026,DOW.ASX,SELL,658,8.13,,AUD
29/5/2026,APA.ASX,SELL,442,10.08,,AUD
29/5/2026,DXI.ASX,SELL,1995,2.39,,AUD
29/5/2026,DDR.ASX,SELL,578,10.36,,AUD
29/5/2026,GPT.ASX,SELL,1048,4.85,,AUD
29/5/2026,CBA.ASX,SELL,32,165.02,,AUD
29/5/2026,ALX.ASX,BUY,550,4.93,,AUD
29/5/2026,NHC.ASX,BUY,465,5.84,,AUD
29/5/2026,WHC.ASX,BUY,379,8.75,,AUD
29/5/2026,CNI.ASX,BUY,1385,1.96,,AUD
29/5/2026,SIQ.ASX,BUY,238,11.39,,AUD
29/5/2026,BHP.ASX,BUY,44,62.31,,AUD
29/5/2026,IAG.ASX,BUY,354,7.66,,AUD
29/5/2026,AMP.ASX,BUY,1696,1.6,,AUD
29/5/2026,NHF.ASX,BUY,406,6.68,,AUD
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
